时间,Twitter ID,用户名,正文,回复,转发,点赞
"2017-08-10, 10:25 AM",ShearComfort,ShearComfort,Why @elonmusk  is the master of deception... but why we can't stay mad... @Mashable #TeslaModel3 http://ow.ly/7VE830e7FvZ pic.twitter.com/5T8JKkIVLM,0,1,1
"2017-08-10, 10:07 AM",Rexyyy_,Kim,Surprising # former  owners switched to Tesla cause Mercedes was too slow providing electric vehicles: Cant wait to get my #TeslaModel3,0,0,0
"2017-08-10, 9:18 AM",hubiq,Eduard Huber,unfortunately I couldn't (still can't) buy an ICE by Daimler. So ordered a #teslamodel3,0,0,0
"2017-08-10, 8:22 AM",michaeldifebo,Michael D. Di Febo,This is critical to the implementation of the #teslamodel3 @TeslaMotorshttps://twitter.com/elonmusk/status/895512698145976320 …,0,0,0
"2017-08-10, 6:43 AM",hwingo,hwingo,"Why #TeslaModel3 is the most important car in the world right now
http://www.motortrend.com/cars/tesla/model-3/2018/exclusive-tesla-model-3-first-drive-review/ …
@MotorTrend #USA #Manufacturing #smartcity #techpic.twitter.com/jI6ovzPO8N",0,1,0
"2017-08-10, 4:26 AM",GreenMotorsDE,Green-Motors.de,"Bis zu 80,5 kWh und 262 PS auf der Hinterachse? Neue Daten zum #Elektroauto #TeslaModel3 https://www.green-motors.de/news/1707304340-tesla-model-3-serie-daten …pic.twitter.com/duoxUG6Ghu",0,4,5
"2017-08-10, 2:10 AM",ALTAS_PRESIONES,Anticiclón,".@cochesnet 
@cocheselec
 @TeslaMotors @TeslaMotorsClub 

#teslamodel3 

Is here the future?
Here is the PRESENT
#fotovoltaica alsohttps://twitter.com/jorpow/status/891545261155246080 …",0,0,0
"2017-08-10, 1:53 AM",pabloberbell,pablo bellissimo,It look great! Except for that steering wheel... #TeslaMotors #model3 #teslamodel3 https://twitter.com/theteslalife/status/895313517036699648 …,0,0,1
"2017-08-10, 12:14 AM",Hellacious_K,Hellacious K,#NissanLEAF will be cheaper than #TeslaModel3 & #chevybolt but have less range https://www.theverge.com/2017/8/9/16115054/nissan-leaf-price-leak-battery-capacity-range?utm_campaign=theverge&utm_content=entry&utm_medium=social&utm_source=twitter … #cars #autos  #electricvehicles,0,0,1
"2017-08-09, 11:20 PM",EverCharge,EverCharge,Tesla board member demonstrates new Model 3 automatic charging port https://buff.ly/2fn5BBO  #TeslaModel3 pic.twitter.com/18160CMdcL,0,2,3
"2017-08-09, 8:30 PM",mortenrene,Morten René,EPA reveals how the #TeslaModel3 gets 310 miles of range via @ExtremeTechhttps://www.extremetech.com/extreme/253939-epa-discloses-teslas-model-3-hits-310-miles-range …,0,0,0
"2017-08-09, 7:47 PM",hwingo,hwingo,"How to buy an #electric #car 
https://www.theverge.com/2017/8/2/16055714/how-to-buy-electric-car-price-range … 
#ElectricVehicle #SmartCities #cleantech #EV #FEV #teslamodel3 #consumer #techpic.twitter.com/Pa5Vp4hFBe",0,4,2
"2017-08-10, 2:10 AM",ALTAS_PRESIONES,Anticiclón,".@cochesnet 
@cocheselec
 @TeslaMotors @TeslaMotorsClub 

#teslamodel3 

Is here the future?
Here is the PRESENT
#fotovoltaica alsohttps://twitter.com/jorpow/status/891545261155246080 …",0,0,0
"2017-08-10, 1:53 AM",pabloberbell,pablo bellissimo,It look great! Except for that steering wheel... #TeslaMotors #model3 #teslamodel3 https://twitter.com/theteslalife/status/895313517036699648 …,0,0,1
"2017-08-09, 11:20 PM",EverCharge,EverCharge,Tesla board member demonstrates new Model 3 automatic charging port https://buff.ly/2fn5BBO  #TeslaModel3 pic.twitter.com/18160CMdcL,0,2,3
"2017-08-09, 8:30 PM",mortenrene,Morten René,EPA reveals how the #TeslaModel3 gets 310 miles of range via @ExtremeTechhttps://www.extremetech.com/extreme/253939-epa-discloses-teslas-model-3-hits-310-miles-range …,0,0,0
"2017-08-09, 7:47 PM",hwingo,hwingo,"How to buy an #electric #car 
https://www.theverge.com/2017/8/2/16055714/how-to-buy-electric-car-price-range … 
#ElectricVehicle #SmartCities #cleantech #EV #FEV #teslamodel3 #consumer #techpic.twitter.com/Pa5Vp4hFBe",0,4,2
"2017-08-09, 7:24 PM",unInstantEpoque,julie peters,"German #diesel mnfgrs'Emerg Meet2-Aug.due2UK2040rejectn OfDieselCars/ #Teslamodel3 launch?Y DidA EUcarCEOsayInBarcelona,'DieselGoingNowhere'",0,0,0
"2017-08-09, 6:12 PM",sriramaa,Sriram Ramanathan,#NissanLeaf will be cheaper than #TeslaModel3 and #ChevyBolt but have less range #tech #mobile #electricvehicles  https://www.theverge.com/platform/amp/2017/8/9/16115054/nissan-leaf-price-leak-battery-capacity-range …,0,0,0
"2017-08-09, 6:00 PM",ElectricCarNews,Morey Schapira,Elon Musk Able To Raise $600 Million For Model 3 In Just A Few… http://dlvr.it/PcyxGV  #News #Tesla #ElonMusk #Teslainvestors #teslamodel3,0,0,0
"2017-08-09, 5:58 PM",toniamcdonald,Tonia McDonald,"@RealCalacanis 'betting against @elonmusk is like betting against the future of humanity, an incredibly stupid thing to do!' #teslamodel3",0,0,1
"2017-08-09, 5:55 PM",Rexyyy_,Kim,"Tesla's long-range #Model3 covers 310 miles.
The electric vehicle has an 80.5 kWh battery & 258-HP motor. Can't wait to get my #TeslaModel3.",0,0,0
"2017-08-09, 5:03 PM",adamoll18,Adam,EPA docs reveal how #teslamodel3 long-range covers 310 miles #tech #ev #Automotive -https://www.engadget.com/2017/08/09/tesla-model-3-battery-details-epa/ …,0,0,0
"2017-08-09, 3:37 PM",siliconclimate,Silicon Climate,Here comes the #TeslaModel3 https://twitter.com/greentechmedia/status/894953936091832320 …,0,0,0
"2017-08-09, 3:33 PM",bdnic11,RoBobby,"shame on the movie industry, I think I'll go buy $TSLA stock and a #Tesla #TeslaModel3 #ElonMusk",0,0,0
"2017-08-09, 2:42 PM",Bytemarks,Burt Lum,"VIDEO: Catch our segment on @HawaiiNewsNow w/ the lovely @GraceLeeSunrise. #TeslaModel3, #Altino coding & #pokemongohttps://www.youtube.com/watch?v=x2hhB4AWwNc …",0,0,3
"2017-08-09, 2:40 PM",DavidWelchBN,David Welch,"Lenders, too, are giving Tesla a preferential shake.  https://www.bloomberg.com/news/articles/2017-08-09/tesla-s-alien-mothership-kept-out-of-reach-for-debut-lenders … #Elonmusk #Tesla #teslamodel3 #gigafactory #junkbonds",0,1,2
"2017-08-09, 1:39 PM",TheLegitSigg,Branden Sigg,Had a dream I owned a #TeslaModel3... damn. Never felt so disappointed waking up.,0,0,1
"2017-08-09, 12:12 PM",lisapowell22,Lisa Powell,"""Tesla Model 3 drives like a Porsche, for the price of a Prius."" @Jason   #TeslaModel3 $TSLA @TeslaMotors",0,0,3
"2017-08-09, 11:56 AM",highrgrndsocial,Higher Ground Social,What do Tesla Model 3 buyers want from the most important electric car ever built? http://buff.ly/2vscl7v  #TeslaModel3 pic.twitter.com/JP2xScqyx9,0,0,0
"2017-08-09, 11:50 AM",sanvai,santhanam,"World's most #innovative companies 2017:
1. #Salesforce
2. #TeslaModel3 
3. #Amazon
http://on.forbes.com/60138QLxz  pic.twitter.com/llZfe9aETB https://twitter.com/Forbes/status/894959145945845760 …",0,0,0
"2017-08-09, 11:20 PM",EverCharge,EverCharge,Tesla board member demonstrates new Model 3 automatic charging port https://buff.ly/2fn5BBO  #TeslaModel3 pic.twitter.com/18160CMdcL,0,2,3
"2017-08-09, 8:30 PM",mortenrene,Morten René,EPA reveals how the #TeslaModel3 gets 310 miles of range via @ExtremeTechhttps://www.extremetech.com/extreme/253939-epa-discloses-teslas-model-3-hits-310-miles-range …,0,0,0
"2017-08-09, 7:47 PM",hwingo,hwingo,"How to buy an #electric #car 
https://www.theverge.com/2017/8/2/16055714/how-to-buy-electric-car-price-range … 
#ElectricVehicle #SmartCities #cleantech #EV #FEV #teslamodel3 #consumer #techpic.twitter.com/Pa5Vp4hFBe",0,4,2
"2017-08-09, 7:24 PM",unInstantEpoque,julie peters,"German #diesel mnfgrs'Emerg Meet2-Aug.due2UK2040rejectn OfDieselCars/ #Teslamodel3 launch?Y DidA EUcarCEOsayInBarcelona,'DieselGoingNowhere'",0,0,0
"2017-08-09, 6:12 PM",sriramaa,Sriram Ramanathan,#NissanLeaf will be cheaper than #TeslaModel3 and #ChevyBolt but have less range #tech #mobile #electricvehicles  https://www.theverge.com/platform/amp/2017/8/9/16115054/nissan-leaf-price-leak-battery-capacity-range …,0,0,0
"2017-08-09, 6:00 PM",ElectricCarNews,Morey Schapira,Elon Musk Able To Raise $600 Million For Model 3 In Just A Few… http://dlvr.it/PcyxGV  #News #Tesla #ElonMusk #Teslainvestors #teslamodel3,0,0,0
"2017-08-09, 5:58 PM",toniamcdonald,Tonia McDonald,"@RealCalacanis 'betting against @elonmusk is like betting against the future of humanity, an incredibly stupid thing to do!' #teslamodel3",0,0,1
"2017-08-09, 5:55 PM",Rexyyy_,Kim,"Tesla's long-range #Model3 covers 310 miles.
The electric vehicle has an 80.5 kWh battery & 258-HP motor. Can't wait to get my #TeslaModel3.",0,0,0
"2017-08-09, 5:03 PM",adamoll18,Adam,EPA docs reveal how #teslamodel3 long-range covers 310 miles #tech #ev #Automotive -https://www.engadget.com/2017/08/09/tesla-model-3-battery-details-epa/ …,0,0,0
"2017-08-09, 3:37 PM",siliconclimate,Silicon Climate,Here comes the #TeslaModel3 https://twitter.com/greentechmedia/status/894953936091832320 …,0,0,0
"2017-08-09, 3:33 PM",bdnic11,RoBobby,"shame on the movie industry, I think I'll go buy $TSLA stock and a #Tesla #TeslaModel3 #ElonMusk",0,0,0
"2017-08-09, 2:42 PM",Bytemarks,Burt Lum,"VIDEO: Catch our segment on @HawaiiNewsNow w/ the lovely @GraceLeeSunrise. #TeslaModel3, #Altino coding & #pokemongohttps://www.youtube.com/watch?v=x2hhB4AWwNc …",0,0,3
"2017-08-09, 2:40 PM",DavidWelchBN,David Welch,"Lenders, too, are giving Tesla a preferential shake.  https://www.bloomberg.com/news/articles/2017-08-09/tesla-s-alien-mothership-kept-out-of-reach-for-debut-lenders … #Elonmusk #Tesla #teslamodel3 #gigafactory #junkbonds",0,1,2
"2017-08-09, 1:39 PM",TheLegitSigg,Branden Sigg,Had a dream I owned a #TeslaModel3... damn. Never felt so disappointed waking up.,0,0,1
"2017-08-09, 12:12 PM",lisapowell22,Lisa Powell,"""Tesla Model 3 drives like a Porsche, for the price of a Prius."" @Jason   #TeslaModel3 $TSLA @TeslaMotors",0,0,3
"2017-08-09, 11:56 AM",highrgrndsocial,Higher Ground Social,What do Tesla Model 3 buyers want from the most important electric car ever built? http://buff.ly/2vscl7v  #TeslaModel3 pic.twitter.com/JP2xScqyx9,0,0,0
"2017-08-09, 11:50 AM",sanvai,santhanam,"World's most #innovative companies 2017:
1. #Salesforce
2. #TeslaModel3 
3. #Amazon
http://on.forbes.com/60138QLxz  pic.twitter.com/llZfe9aETB https://twitter.com/Forbes/status/894959145945845760 …",0,0,0
"2017-08-09, 11:29 AM",EverCharge,EverCharge,"Public Chargers Are A Real Pain, So Why Is Everyone Clamoring For Them? https://buff.ly/2vI6QTj  #electriccars #TeslaModel3 #BoltEVpic.twitter.com/FcUVzj8MF8",0,3,2
"2017-08-09, 11:22 AM",kbansink,Katherina B Ansink,"I just hear this on #CNBC @jason the  #teslamodel3 is a #Wagyu burger at a #shakeshack price.  if you tell me in terms of food, i get it.",0,0,0
"2017-08-09, 11:03 AM",BrownBaggsman,Brown baggsman,Check out the #TeslaModel3 before making a decision. I looked at both options. Deposit on #TeslaModel3 was my best decision #friendlyadvise,1,0,0
"2017-08-09, 5:03 PM",adamoll18,Adam,EPA docs reveal how #teslamodel3 long-range covers 310 miles #tech #ev #Automotive -https://www.engadget.com/2017/08/09/tesla-model-3-battery-details-epa/ …,0,0,0
"2017-08-09, 3:37 PM",siliconclimate,Silicon Climate,Here comes the #TeslaModel3 https://twitter.com/greentechmedia/status/894953936091832320 …,0,0,0
"2017-08-09, 3:33 PM",bdnic11,RoBobby,"shame on the movie industry, I think I'll go buy $TSLA stock and a #Tesla #TeslaModel3 #ElonMusk",0,0,0
"2017-08-09, 2:42 PM",Bytemarks,Burt Lum,"VIDEO: Catch our segment on @HawaiiNewsNow w/ the lovely @GraceLeeSunrise. #TeslaModel3, #Altino coding & #pokemongohttps://www.youtube.com/watch?v=x2hhB4AWwNc …",0,0,3
"2017-08-09, 2:40 PM",DavidWelchBN,David Welch,"Lenders, too, are giving Tesla a preferential shake.  https://www.bloomberg.com/news/articles/2017-08-09/tesla-s-alien-mothership-kept-out-of-reach-for-debut-lenders … #Elonmusk #Tesla #teslamodel3 #gigafactory #junkbonds",0,1,2
"2017-08-09, 1:39 PM",TheLegitSigg,Branden Sigg,Had a dream I owned a #TeslaModel3... damn. Never felt so disappointed waking up.,0,0,1
"2017-08-09, 12:12 PM",lisapowell22,Lisa Powell,"""Tesla Model 3 drives like a Porsche, for the price of a Prius."" @Jason   #TeslaModel3 $TSLA @TeslaMotors",0,0,3
"2017-08-09, 11:56 AM",highrgrndsocial,Higher Ground Social,What do Tesla Model 3 buyers want from the most important electric car ever built? http://buff.ly/2vscl7v  #TeslaModel3 pic.twitter.com/JP2xScqyx9,0,0,0
"2017-08-09, 11:50 AM",sanvai,santhanam,"World's most #innovative companies 2017:
1. #Salesforce
2. #TeslaModel3 
3. #Amazon
http://on.forbes.com/60138QLxz  pic.twitter.com/llZfe9aETB https://twitter.com/Forbes/status/894959145945845760 …",0,0,0
"2017-08-09, 11:29 AM",EverCharge,EverCharge,"Public Chargers Are A Real Pain, So Why Is Everyone Clamoring For Them? https://buff.ly/2vI6QTj  #electriccars #TeslaModel3 #BoltEVpic.twitter.com/FcUVzj8MF8",0,3,2
"2017-08-09, 11:22 AM",kbansink,Katherina B Ansink,"I just hear this on #CNBC @jason the  #teslamodel3 is a #Wagyu burger at a #shakeshack price.  if you tell me in terms of food, i get it.",0,0,0
"2017-08-09, 11:20 AM",djMaryjane,Maryjane Mixtapes,Reserved!  #Tesla #model3 #teslamodel3 #elonmusk https://www.instagram.com/p/BXk-55hh2e3/,0,0,0
"2017-08-09, 11:03 AM",BrownBaggsman,Brown baggsman,Check out the #TeslaModel3 before making a decision. I looked at both options. Deposit on #TeslaModel3 was my best decision #friendlyadvise,1,0,0
"2017-08-09, 10:03 AM",GerberKawasaki,Ross Gerber,New thoughts on #TeslaModel3 from @Jason we're very positive. This guy gets it and he already got his #tesla You love it @Jason ? $tsla,0,1,4
"2017-08-09, 9:29 AM",JUSTlN00,Justin,"Spotted on High Street in downtown #Boston, a #Tesla #Model3 #teslamodel3 pic.twitter.com/hy3LnNpTdo",0,0,4
"2017-08-09, 9:21 AM",xmetal,Paul Carpenter,Yes please. #teslamodel3 #tunedpic.twitter.com/QjlkcO1lFo,0,0,1
"2017-08-09, 9:03 AM",KnowYourLeaks,KnowYourLeaks,Tesla To Release Compact Suv (pls RT↺) ️️ http://www.knowyourleaks.com/2357084  #TESLA #Business #Transhumanists #TeslaModel3 #Fo,0,0,0
"2017-08-09, 8:52 AM",edyafonsogirao,Edy A. Girao,Reviewers of Tesla’s Newest Vehicle Are Unanimous: “The Model 3 Has No Competition” https://futurism.com/reviewers-of-teslas-newest-vehicle-are-unanimous-the-model-3-has-no-competition/ … #teslamodel3,0,0,0
"2017-08-09, 8:06 AM",rafaelsantoni,Rafael Santoni,@Model3Owners unfortunately I'm on the east coast. Otherwise I would be one of the first to drive a #teslamodel3 on a road course track.,0,0,0
"2017-08-09, 8:01 AM",therealautoblog,Autoblog,".@elonmusk introduced the #TeslaModel3 to the world, but as important is the factory that's going to produce it: http://bit.ly/2umTrj7 pic.twitter.com/byZXZhZbIm",0,6,4
"2017-08-09, 10:03 AM",GerberKawasaki,Ross Gerber,New thoughts on #TeslaModel3 from @Jason we're very positive. This guy gets it and he already got his #tesla You love it @Jason ? $tsla,0,1,4
"2017-08-09, 9:29 AM",JUSTlN00,Justin,"Spotted on High Street in downtown #Boston, a #Tesla #Model3 #teslamodel3 pic.twitter.com/hy3LnNpTdo",0,0,4
"2017-08-09, 9:21 AM",xmetal,Paul Carpenter,Yes please. #teslamodel3 #tunedpic.twitter.com/QjlkcO1lFo,0,0,1
"2017-08-09, 9:03 AM",KnowYourLeaks,KnowYourLeaks,Tesla To Release Compact Suv (pls RT↺) ️️ http://www.knowyourleaks.com/2357084  #TESLA #Business #Transhumanists #TeslaModel3 #Fo,0,0,0
"2017-08-09, 8:52 AM",edyafonsogirao,Edy A. Girao,Reviewers of Tesla’s Newest Vehicle Are Unanimous: “The Model 3 Has No Competition” https://futurism.com/reviewers-of-teslas-newest-vehicle-are-unanimous-the-model-3-has-no-competition/ … #teslamodel3,0,0,0
"2017-08-09, 8:06 AM",rafaelsantoni,Rafael Santoni,@Model3Owners unfortunately I'm on the east coast. Otherwise I would be one of the first to drive a #teslamodel3 on a road course track.,0,0,0
"2017-08-09, 8:01 AM",therealautoblog,Autoblog,".@elonmusk introduced the #TeslaModel3 to the world, but as important is the factory that's going to produce it: http://bit.ly/2umTrj7 pic.twitter.com/byZXZhZbIm",0,6,4
"2017-08-09, 7:12 AM",GerberKawasaki,Ross Gerber,Great news! Elon chooses #TeslaModel3 over Amber Heard!!! $tsla Musk & Heard still 'love one another' #Teslahttps://apple.news/ACnaQ48gAQ3Su0md3xrj2fA …,1,2,9
"2017-08-09, 6:35 AM",DriveElectricUK,DriveElectric,"Tesla plans to raise $1.5bn to produce new Model 3 http://www.bbc.co.uk/news/business-40850187 …

#Tesla #Model3 #TeslaModel3 #EV",0,1,3
"2017-08-09, 5:29 AM",profferedapp,Proffered Inc.,Serving in courts nationwide! Download Proffered on your #iPhone now: http://profferedapp.com . #teslamodel3 pic.twitter.com/tV13LqjuN9,0,0,0
"2017-08-09, 3:29 AM",jarodlkp,jarodlkp,"When iPhone was launched, #iPhoneKiller appear. Now #TeslaModel3 is delivered, #TeslaKiller appear.
What is next? https://buff.ly/2vHUYzB",0,0,0
"2017-08-09, 12:26 AM",guidaautonoma,guidaautonoma,"#teslamodel3 : 80 kWh e 258 cavalli di potenza.
#Elonmusk : 700.000 all'anno
http://www.dday.it/redazione/23919/tesla-model-3-80-kwh-e-258-cavalli-di-potenza-musk-punta-a-700000-allanno …
#autonomous #innovazione #smartcity #AIpic.twitter.com/sKdJeNcNdh",0,4,0
"2017-08-08, 10:59 PM",robfreemanjr,Rob Freeman Jr,Betting @TeslaMotors new bond deal will be oversubscribed... #teslamodel3 #debt https://www.bloomberg.com/amp/news/articles/2017-08-08/musk-revs-up-tesla-bond-buyers-by-selling-them-debt-with-dream …,0,0,0
"2017-08-08, 10:57 PM",RFCAmbrian,RFCAmbrian,The #TeslaModel3 will use #neodymium & #praseodymium in its motor. Please see: http://www.rfcambrian.com/index.php/2016/11/16/4388/ …. This is excellent for @PeakResources,0,0,0
"2017-08-08, 10:09 PM",ElectricMotorsC,ElectricMotorsClub,"#Tesla #ProjectLoveday contest winner and Top-10 works:
http://bit.ly/2wsnN12 
@TeslaMotors @MKBHD #teslamodel3 #model3pic.twitter.com/Orjqkyru5V",0,0,2
"2017-08-08, 9:34 PM",kayemlin,Kaye Lin,"When you're in a #tesla . #teslamodel3
Look, Ma. No hands. (Karaoke time).

#electriccars #robot… https://www.instagram.com/p/BXjgTTRATpn/",0,0,0
"2017-08-08, 9:11 PM",qn215,Quan Nguyen,So what would happen to a #teslamodel3 in #HoustonFloods ? Would my passengers and I be electrocuted @TeslaMotors,0,0,0
"2017-08-08, 8:39 PM",RMPerkinson,Randall Perkinson,"With 450,000+ people in front of me, it will be awhile before I have to make my color, wheel, and other choices.  #TeslaModel3 #HurryUpTeslapic.twitter.com/FCd24ZAbmd",0,0,1
"2017-08-08, 8:30 PM",OurRealtorLV,Luis Villacres®,I'm I the only one who thinks @elonmusk looks a lot like Michael Merline from #Arrow? Amazing car by the way. #teslamodel3 #Teslapic.twitter.com/Dc4g9XJ4ZH,1,0,1
"2017-08-09, 3:29 AM",jarodlkp,jarodlkp,"When iPhone was launched, #iPhoneKiller appear. Now #TeslaModel3 is delivered, #TeslaKiller appear.
What is next? https://buff.ly/2vHUYzB",0,0,0
"2017-08-09, 2:37 AM",MelanieCandas,Mélanie Candas,La sortie de la #TeslaModel3 : avènement de la voiture vertueuse ? Ou report de la nécessaire remise en cause du véhicule individuel ? https://twitter.com/unfccc/status/895006142434353152 …,0,0,2
"2017-08-09, 12:26 AM",guidaautonoma,guidaautonoma,"#teslamodel3 : 80 kWh e 258 cavalli di potenza.
#Elonmusk : 700.000 all'anno
http://www.dday.it/redazione/23919/tesla-model-3-80-kwh-e-258-cavalli-di-potenza-musk-punta-a-700000-allanno …
#autonomous #innovazione #smartcity #AIpic.twitter.com/sKdJeNcNdh",0,4,0
"2017-08-08, 10:59 PM",robfreemanjr,Rob Freeman Jr,Betting @TeslaMotors new bond deal will be oversubscribed... #teslamodel3 #debt https://www.bloomberg.com/amp/news/articles/2017-08-08/musk-revs-up-tesla-bond-buyers-by-selling-them-debt-with-dream …,0,0,0
"2017-08-08, 10:57 PM",RFCAmbrian,RFCAmbrian,The #TeslaModel3 will use #neodymium & #praseodymium in its motor. Please see: http://www.rfcambrian.com/index.php/2016/11/16/4388/ …. This is excellent for @PeakResources,0,0,0
"2017-08-08, 10:09 PM",ElectricMotorsC,ElectricMotorsClub,"#Tesla #ProjectLoveday contest winner and Top-10 works:
http://bit.ly/2wsnN12 
@TeslaMotors @MKBHD #teslamodel3 #model3pic.twitter.com/Orjqkyru5V",0,0,2
"2017-08-08, 9:34 PM",kayemlin,Kaye Lin,"When you're in a #tesla . #teslamodel3
Look, Ma. No hands. (Karaoke time).

#electriccars #robot… https://www.instagram.com/p/BXjgTTRATpn/",0,0,0
"2017-08-08, 9:11 PM",qn215,Quan Nguyen,So what would happen to a #teslamodel3 in #HoustonFloods ? Would my passengers and I be electrocuted @TeslaMotors,0,0,0
"2017-08-08, 8:39 PM",RMPerkinson,Randall Perkinson,"With 450,000+ people in front of me, it will be awhile before I have to make my color, wheel, and other choices.  #TeslaModel3 #HurryUpTeslapic.twitter.com/FCd24ZAbmd",0,0,1
"2017-08-08, 8:30 PM",OurRealtorLV,Luis Villacres®,I'm I the only one who thinks @elonmusk looks a lot like Michael Merline from #Arrow? Amazing car by the way. #teslamodel3 #Teslapic.twitter.com/Dc4g9XJ4ZH,1,0,1
"2017-08-08, 8:11 PM",DemonJim,DemonJim,Here in the UK of course we call a frunk a froot. #motoring #cars #TeslaModel3 #EV #froots,0,0,0
"2017-08-08, 7:55 PM",monica_mtg,monica g,I waaaaant #teslamodel3 #2moreyearshttps://twitter.com/motortrend/status/891149337639608324 …,0,0,1
"2017-08-08, 6:01 PM",mantaray1990,Storm Ikin,So they say. Driving Tesla’s Model 3 Changes Everything http://j.mp/2uT1Fyd  #TeslaModel3 pic.twitter.com/7U7sIIJb4C,0,0,0
